ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
90009,0,1,0,0,0,0,0,0,0,0,0,0
90009,1,1,0,0,0,0,0,0,0,0,0,0
90010,0,1,0,0,0,0,0,0,0,0,0,0
90011,1,1,0,0,0,0,0,0,0,0,0,0
90011,2,1,0,0,4,0,0,0,0,0,0,22
90012,0,1,1,1,1,1,1,1,1,1,1,1
90012,1,1,34,34,34,34,34,34,34,34,34,34
90013,0,1,0,0,0,0,0,0,0,0,0,0
90013,1,1,0,0,0,18,8,0,0,0,14,0
90014,1,1,0,0,0,0,0,0,0,0,0,0
90014,2,1,0,0,0,0,0,0,0,0,0,0
90015,0,1,0,0,0,0,0,0,0,0,0,0
90015,1,1,13,13,13,13,13,13,13,13,13,13
90016,1,1,0,0,0,13,8,0,16,14,13,0
90016,2,1,0,0,0,0,0,0,0,0,0,0
90017,1,1,0,0,0,0,0,0,36,0,0,0
90018,0,1,0,0,0,0,0,0,0,0,0,0
90018,1,1,0,0,0,0,0,0,0,0,0,0
90018,2,1,0,0,0,0,0,0,0,0,0,0
90019,0,1,0,0,0,0,0,0,0,0,0,0
90019,1,1,0,0,0,0,0,0,0,0,0,0
90020,1,1,16,16,16,16,16,16,16,16,16,16
90021,1,1,20,20,10,16,26,0,3,0,12,20
90022,1,1,20,20,20,20,20,20,20,20,20,20
90023,1,1,15,15,15,15,15,15,15,15,15,15
90023,2,1,0,0,13,15,16,11,12,2,13,16
90024,1,1,0,0,0,0,0,0,0,0,0,0
90024,2,1,0,0,0,0,0,0,0,0,0,0
90025,1,1,0,0,0,0,0,0,0,0,0,0
90025,2,1,0,0,0,0,0,0,0,0,0,0
90026,1,1,0,0,0,0,0,0,0,0,0,0
90027,1,1,20,20,20,20,20,20,20,20,20,20
90028,1,1,0,0,0,0,0,0,0,0,0,0
90029,1,1,15,15,15,15,15,15,15,15,15,15
90030,1,1,22,22,22,22,22,22,22,22,22,22
90032,1,1,28,28,28,28,28,28,28,28,28,28
90033,0,1,0,25,0,0,0,0,0,0,0,0
90033,1,1,0,0,0,0,0,0,0,0,0,0
90033,3,1,0,0,0,0,0,0,0,0,0,0
90034,0,1,0,0,0,0,0,0,0,0,0,0
90034,1,1,0,0,0,0,0,0,31,0,0,0
90035,1,1,18,18,18,18,18,18,18,18,18,18
90036,1,1,0,0,0,0,0,0,0,0,0,0
90036,2,1,14,26,7,8,2,10,9,11,15,0
90037,1,1,0,17,0,0,0,10,0,0,14,0
90037,2,1,0,27,0,26,0,15,0,9,17,0
90037,3,1,0,0,0,0,0,0,0,0,0,0
90037,4,1,0,0,0,0,0,0,0,0,0,0
90038,1,1,0,0,0,0,0,0,0,0,0,0
90038,2,1,0,0,0,0,0,0,0,0,0,0
90038,3,1,0,0,0,0,0,0,0,0,0,0
90038,4,1,0,0,0,0,0,0,0,0,0,0
90039,1,1,20,4,6,12,11,13,15,0,9,0
90040,1,1,18,18,18,18,18,18,18,18,18,18
90041,1,1,0,0,0,0,0,0,0,0,0,0
90042,1,1,25,25,25,25,25,25,25,25,25,25
90043,1,1,0,0,0,0,0,0,0,0,0,0
90043,2,1,14,14,14,14,14,14,14,14,14,14
90044,1,1,0,0,0,0,0,0,0,0,0,0
90045,1,1,0,0,0,0,0,0,0,0,0,0
90045,2,1,0,0,0,0,0,0,0,0,0,0
90046,1,1,0,0,0,0,0,0,0,0,0,0
90046,2,1,0,0,0,9,22,0,0,14,24,30
90047,1,1,0,0,0,0,0,0,0,0,0,0
90048,1,1,0,0,0,0,0,0,0,0,0,0
90048,2,1,0,0,0,0,0,0,0,0,0,0
90048,3,1,0,0,0,0,0,20,0,0,0,0
90049,1,1,0,0,0,0,0,0,0,0,0,0
90049,2,1,0,0,5,0,0,0,0,0,0,0
90049,3,1,0,0,0,0,20,0,3,0,0,0
90050,1,1,0,0,0,0,0,0,0,0,0,0
90051,1,1,0,0,0,0,0,0,16,0,0,0
90051,2,1,25,25,25,25,25,25,25,25,25,25
90052,0,1,0,0,0,0,0,0,0,0,0,0
90053,0,1,0,0,0,0,0,0,0,0,0,0
90053,1,1,0,0,0,0,0,0,0,0,0,0
90054,1,1,36,36,36,36,36,36,36,36,36,36
90054,2,1,0,0,0,11,0,0,0,0,0,0
90055,1,1,0,0,0,0,0,0,0,0,0,0
90056,1,1,0,0,0,0,0,0,0,0,0,0
90056,2,1,0,0,0,0,0,0,0,0,0,0
90057,1,1,13,13,13,13,13,13,13,13,13,13
90058,1,1,0,0,0,0,0,0,0,0,0,0
90058,2,1,21,21,21,21,21,21,21,21,21,21
90059,1,1,14,14,14,14,14,14,14,14,14,14
90060,1,1,3,3,3,3,3,3,3,3,3,3
90061,1,1,18,18,18,18,18,18,18,18,18,18
90062,1,1,12,0,0,0,0,0,0,0,0,0
90062,2,1,0,0,0,0,0,0,0,0,0,0
90063,1,1,0,0,0,0,0,0,0,0,0,0
90064,1,1,0,0,0,0,0,0,0,0,0,0
90065,0,1,0,0,0,0,0,0,0,0,0,0
90065,1,1,0,0,0,0,0,0,0,0,0,0
90066,1,1,0,0,0,0,0,0,0,0,0,0
90066,2,1,0,0,0,7,0,0,0,0,0,0
90067,1,1,0,0,0,0,0,0,0,0,0,0
90068,0,1,16,16,16,16,16,16,16,16,16,16
90068,1,1,0,0,0,0,0,0,0,0,0,0
90069,1,1,1,1,1,1,1,1,1,1,1,1
90070,1,1,0,0,0,0,0,0,0,0,0,0
90071,0,1,0,0,0,0,0,0,0,0,0,0
90071,0,2,0,0,0,0,23,15,0,20,0,0
90071,2,1,0,0,0,0,0,0,0,0,0,13
90072,1,1,0,0,0,0,0,0,0,0,0,0
90072,2,1,0,0,0,0,0,0,0,0,0,0
90073,1,1,0,0,0,0,0,0,0,0,0,0
90073,2,1,0,0,0,0,0,0,0,0,0,0
90073,3,1,9,0,12,0,0,0,0,0,0,0
90074,1,1,0,0,0,0,0,0,0,0,0,0
90074,2,1,0,0,0,0,0,0,0,0,0,0
90075,1,1,0,0,0,0,0,0,0,0,0,0
90075,2,1,0,0,0,0,0,0,0,0,0,0
90076,1,1,0,0,0,0,0,0,0,0,0,0
90077,1,1,0,0,0,0,0,0,0,0,0,0
90077,2,1,0,0,10,0,0,0,22,0,0,0
90077,3,1,0,0,0,0,14,0,0,0,0,0
90078,1,1,0,0,0,0,0,0,0,0,0,0
90079,1,1,0,12,0,0,0,0,10,0,18,0
90079,2,1,0,0,0,0,0,0,0,0,0,0
90080,1,1,0,0,0,0,0,0,0,0,0,0
90080,2,1,0,0,0,0,0,0,0,0,0,0
90081,1,1,0,0,0,0,0,0,0,0,0,0
90082,1,1,16,16,16,16,16,16,16,16,16,16
90083,1,1,0,0,0,0,0,0,0,0,0,0
90085,1,1,0,0,0,0,0,0,0,0,0,0
90086,1,1,25,7,0,0,0,22,13,0,4,0
90087,1,1,0,0,0,0,0,0,0,0,0,0
90087,2,1,15,15,15,15,15,15,15,15,15,15
90088,1,1,17,0,14,0,8,0,0,0,10,0
90088,2,1,21,21,21,21,21,21,21,21,21,21
90089,1,1,14,14,14,14,14,14,14,14,14,14
90089,2,1,6,6,6,6,6,6,6,6,6,6
90090,1,1,0,0,0,0,0,0,0,0,0,0
90091,1,1,0,0,0,0,0,0,0,0,0,0
90092,1,1,0,0,0,10,0,0,4,0,0,0
90092,2,1,0,0,0,0,0,0,0,0,0,0
90093,1,1,15,15,15,15,15,15,15,15,15,15
90094,1,1,0,0,0,0,0,0,0,0,0,0
90095,1,1,0,0,0,0,0,0,0,0,0,0
90096,1,1,0,0,14,0,0,0,0,0,20,11
90096,2,1,15,0,0,0,0,0,0,0,2,0
90097,1,1,13,13,13,13,13,13,13,13,13,13
90098,1,1,0,0,0,0,0,0,0,0,0,0
90099,1,1,8,8,5,0,0,12,0,10,0,0
90100,1,1,0,0,0,0,0,0,0,0,0,0
90101,1,1,3,43,0,0,0,14,8,0,0,0
90101,2,1,0,0,0,0,0,0,0,0,0,0
90101,3,1,0,0,0,0,0,0,0,0,0,0
90102,1,1,0,0,0,0,0,0,0,0,0,0
90103,0,1,0,0,0,0,0,0,0,0,0,0
90103,1,1,24,0,0,0,12,0,15,0,0,6
90104,1,1,6,6,6,6,6,6,6,6,6,6
90105,1,1,15,15,15,15,15,15,15,15,15,15
90105,2,1,0,0,13,0,8,0,0,0,0,19
90107,1,1,18,18,18,18,18,18,18,18,18,18
90107,2,1,0,0,0,0,0,0,0,0,0,0
90108,1,1,0,0,0,0,0,0,0,0,0,0
90108,2,1,26,26,26,26,26,26,26,26,26,26
90109,1,1,13,13,13,13,13,13,13,13,13,13
90110,1,1,14,14,14,14,14,14,14,14,14,14
90111,1,1,0,0,0,0,0,0,0,0,0,0
90112,1,1,10,0,0,0,0,0,5,0,0,0
90112,2,1,0,0,0,0,0,0,0,0,0,0
90113,1,1,0,0,0,0,0,0,0,0,0,0
90113,2,1,0,7,0,0,0,0,0,9,0,0
90114,0,1,0,0,0,0,0,0,0,0,0,0
90114,0,2,0,10,0,0,0,0,0,0,0,0
90114,1,1,0,0,7,0,0,0,0,0,0,0
90115,1,1,0,0,0,0,0,0,4,0,0,0
90115,2,1,0,0,0,0,0,0,0,0,0,0
90116,1,1,14,14,14,14,14,14,14,14,14,14
90116,2,1,0,0,0,0,0,5,0,13,0,0
90117,1,1,2,2,2,2,2,2,2,2,2,2
90117,2,1,0,16,0,0,0,0,26,14,0,0
90117,3,1,9,17,0,23,0,19,0,0,0,0
90118,1,1,23,16,21,6,14,7,10,14,20,16
90119,1,1,0,0,0,0,0,0,0,0,0,0
90119,2,1,0,0,0,0,0,0,0,0,0,0
90120,1,1,27,27,27,27,27,27,27,27,27,27
90121,1,1,0,0,0,0,0,0,0,0,0,0
90121,2,1,0,0,0,0,0,0,0,0,0,0
90122,1,1,0,0,0,0,0,0,0,0,0,0
90122,2,1,0,0,0,0,0,0,0,0,0,0
90123,1,1,0,0,9,0,0,0,0,0,0,0
90123,2,1,16,0,0,0,10,0,0,0,0,0
90124,1,1,14,14,14,14,14,14,14,14,14,14
90125,1,1,0,0,0,0,0,0,0,11,0,0
90125,2,1,0,0,0,0,0,0,0,0,0,0
90126,1,1,8,8,8,8,8,8,8,8,8,8
90126,2,1,0,0,0,0,0,0,0,0,0,0
90127,1,1,0,0,0,0,0,0,0,0,0,0
90127,2,1,29,29,29,29,29,29,29,29,29,29
90128,0,1,0,0,0,0,0,0,0,0,0,0
90128,1,1,0,0,0,0,0,0,9,0,3,0
90129,1,1,17,17,17,17,17,17,17,17,17,17
90130,1,1,17,17,17,17,17,17,17,17,17,17
90131,1,1,0,0,0,0,0,0,0,0,0,0
90132,0,1,0,0,0,0,0,0,0,0,0,0
90132,1,1,0,0,0,0,12,0,0,0,0,0
90133,1,1,0,0,0,0,0,0,0,0,0,0
90134,1,1,18,18,18,18,18,18,18,18,18,18
90135,1,1,0,0,0,0,0,0,0,0,0,0
90135,2,1,0,0,0,0,0,0,0,0,0,0
90136,1,1,0,0,0,0,0,0,0,0,0,0
90136,2,1,0,0,0,0,0,0,0,0,0,0
90137,1,1,12,12,12,12,12,12,12,12,12,12
90138,1,1,0,0,0,0,3,0,0,0,0,0
90138,2,1,0,0,0,0,0,0,0,0,0,0
90139,1,1,15,15,15,15,15,15,15,15,15,15
90140,1,1,0,0,26,0,0,0,0,0,0,21
90140,2,1,0,0,0,0,0,0,0,0,0,0
90140,3,1,0,0,0,0,0,0,0,0,0,0
90141,1,1,22,22,22,22,22,22,22,22,22,22
90142,0,1,0,0,0,0,0,0,0,0,0,0
90142,1,1,0,0,0,0,0,0,0,0,42,0
90143,0,1,0,0,0,0,0,0,0,0,0,0
90143,1,1,0,0,0,0,0,0,0,0,0,0
90144,1,1,0,0,0,0,0,0,0,0,0,0
90145,1,1,0,0,0,0,0,0,0,0,0,0
90145,2,1,0,0,0,0,0,0,0,0,0,0
90146,1,1,21,0,0,11,0,14,0,28,2,0
90146,2,1,0,0,0,0,0,0,0,0,0,0
90147,1,1,0,0,0,0,0,0,0,0,0,0
90148,0,1,0,0,0,0,0,0,0,0,0,0
90148,1,1,0,0,0,9,0,0,0,16,0,0
90149,1,1,17,17,17,17,17,17,17,17,17,17
90150,1,1,0,0,18,0,0,25,0,0,0,0
90151,1,1,0,0,0,0,0,0,0,0,0,0
90152,1,1,0,0,0,0,0,0,0,0,0,0
90153,1,1,0,0,0,0,0,0,0,0,0,0
90153,2,1,0,0,0,0,0,0,0,0,0,0
90154,0,1,0,0,0,0,0,0,0,0,0,0
90154,1,1,0,0,0,0,0,0,14,0,0,10
90155,1,1,0,0,0,0,0,7,0,0,0,0
90155,2,1,21,21,21,21,21,21,21,21,21,21
90156,0,1,0,0,0,0,0,0,0,0,0,0
90156,1,1,0,0,0,0,8,0,0,0,0,0
90157,1,1,11,0,16,23,19,0,19,33,10,0
90158,0,1,4,4,4,4,4,4,4,4,4,4
90158,1,1,0,0,0,0,0,0,0,0,0,0
90159,1,1,0,8,0,0,0,0,0,0,0,0
90159,2,1,0,0,0,0,0,0,0,0,0,0
90160,1,1,4,0,16,20,8,0,0,0,10,0
90161,1,1,0,0,0,0,0,0,0,0,0,0
90162,0,1,0,0,0,0,0,0,0,0,0,0
90162,1,1,0,0,0,0,0,0,0,0,0,0
90163,1,1,32,32,32,32,32,32,32,32,32,32
90164,1,1,16,0,9,33,32,0,29,0,0,32
90165,1,1,7,7,7,7,7,7,7,7,7,7
90166,1,1,27,24,0,19,0,0,18,0,0,14
90167,1,1,19,19,19,19,19,19,19,19,19,19
90168,1,1,0,0,0,0,0,0,0,0,0,0
90168,2,1,0,0,0,0,0,0,0,0,0,0
90169,1,1,24,24,24,24,24,24,24,24,24,24
90170,0,1,0,0,0,0,0,0,0,0,0,0
90170,1,1,0,0,0,0,0,19,0,0,0,0
90171,1,1,12,10,6,18,20,10,6,8,13,11
90173,1,1,21,21,21,21,21,21,21,21,21,21
90174,0,1,0,0,0,0,0,0,0,0,0,0
90174,1,1,0,0,0,23,0,0,0,0,0,0
90175,0,1,0,0,0,0,0,0,0,0,0,0
90175,1,1,0,0,0,0,0,12,0,0,0,0
90176,1,1,12,12,12,12,12,12,12,12,12,12
90177,1,1,28,28,28,28,28,28,28,28,28,28
90178,0,1,29,29,29,29,29,29,29,29,29,29
90178,1,1,0,0,0,0,0,0,0,0,0,0
90179,1,1,0,0,0,0,0,0,0,0,0,0
90180,1,1,4,4,4,4,4,4,4,4,4,4
90181,1,1,1,1,1,1,1,1,1,1,1,1
90181,2,1,0,0,0,2,0,0,14,0,0,0
90182,1,1,0,0,0,0,0,0,0,0,0,0
90182,2,1,0,0,0,0,0,0,0,0,0,0
90183,0,1,25,25,25,25,25,25,25,25,25,25
90183,1,1,16,14,12,9,17,2,19,8,0,5
90184,1,1,0,0,0,0,0,0,0,0,0,0
90184,2,1,29,29,29,29,29,29,29,29,29,29
90186,1,1,0,0,0,0,0,0,0,0,16,0
90186,2,1,0,0,0,0,0,0,0,0,0,0
90187,1,1,0,0,0,0,0,0,0,0,0,0
90188,1,1,21,23,20,13,23,40,3,10,16,0
90189,0,1,0,0,0,0,0,0,0,0,0,0
90189,1,1,0,5,0,0,0,17,0,0,0,0
90190,1,1,16,16,12,0,23,12,18,15,9,12
90190,2,1,0,15,0,0,0,0,0,0,0,0
90191,1,1,0,0,0,0,0,0,0,0,0,0
90191,2,1,24,24,24,24,24,24,24,24,24,24
90192,0,1,0,0,0,0,0,0,0,0,0,0
90192,1,1,0,0,0,0,0,0,0,0,0,0
90193,0,1,0,0,0,0,0,0,0,0,0,0
90193,1,1,16,13,0,0,6,27,11,6,15,3
90194,1,1,0,0,0,0,0,0,0,0,0,0
90195,1,1,22,22,22,22,22,22,22,22,22,22
90196,1,1,14,0,0,0,7,33,0,29,0,28
90197,0,1,0,15,0,0,33,0,0,0,19,0
90197,1,1,0,0,0,0,0,0,0,0,0,0
90198,1,1,0,0,0,24,0,0,0,25,0,0
90198,2,1,0,0,0,0,0,0,0,6,0,18
90199,1,1,0,0,0,0,0,0,0,0,0,0
90200,1,1,0,0,0,0,0,0,0,0,0,0
90200,2,1,0,0,0,0,0,0,0,0,0,0
90201,1,1,0,15,0,0,0,11,20,0,0,6
90201,2,1,0,0,0,0,0,0,0,0,0,0
90202,1,1,0,0,0,0,0,0,0,0,0,0
90202,2,1,0,26,12,0,0,0,0,0,15,0
90203,0,1,0,0,0,0,0,0,0,0,0,0
90203,1,1,0,0,0,0,0,0,0,0,0,0
90205,1,1,0,0,0,0,0,0,0,0,0,0
90206,1,1,2,2,2,2,2,2,2,2,2,2
90206,2,1,0,7,0,14,0,0,0,0,0,0
90206,3,1,0,21,0,20,0,0,0,10,0,0
90207,0,1,0,0,0,0,0,0,0,0,0,0
90207,1,1,0,0,0,0,0,0,0,0,0,0
90208,1,1,0,0,0,0,0,0,0,0,0,0
90209,1,1,0,0,0,0,0,0,0,0,0,0
90210,1,1,0,0,0,0,0,0,0,0,0,0
90211,1,1,21,21,21,21,21,21,21,21,21,21
90212,1,1,19,19,19,19,19,19,19,19,19,19
90213,1,1,0,0,0,0,0,0,0,0,0,0
90213,2,1,0,0,0,0,0,22,0,0,0,14
90214,0,1,0,0,0,0,0,0,0,0,0,0
90214,1,1,0,0,0,15,0,0,0,0,19,0
90215,1,1,20,20,20,11,0,17,0,0,0,0
90215,2,1,21,21,21,21,21,21,21,21,21,21
90216,0,1,9,9,9,9,9,9,9,9,9,9
90216,1,1,8,8,8,8,8,8,8,8,8,8
90217,1,1,29,29,29,29,29,29,29,29,29,29
90218,1,1,24,24,24,24,24,24,24,24,24,24
90219,1,1,0,0,0,0,0,0,0,0,0,0
90219,2,1,0,0,0,0,0,0,0,0,0,0
90219,3,1,0,0,0,0,0,0,3,18,0,19
90220,1,1,8,8,8,8,8,8,8,8,8,8
90221,1,1,0,0,0,0,0,0,0,0,0,0
90221,2,1,0,0,0,0,0,0,0,7,0,0
90222,1,1,21,21,21,21,21,21,21,21,21,21
90223,1,1,0,0,0,0,0,0,0,0,0,0
90224,1,1,25,25,25,25,25,25,25,25,25,25
90225,1,1,0,0,0,0,0,0,0,0,0,0
90226,1,1,0,0,0,0,0,0,0,0,0,0
90226,2,1,0,0,0,0,0,0,0,0,0,0
90227,1,1,0,0,0,0,0,0,0,0,0,0
90227,2,1,0,0,0,0,0,21,0,0,0,0
90227,3,1,0,0,0,0,0,0,0,0,0,0
90227,4,1,21,11,0,0,8,0,14,0,0,20
90227,5,1,5,9,0,17,0,18,6,0,13,0
90227,6,1,0,5,0,0,0,0,0,0,0,0
90227,7,1,20,17,0,10,0,15,0,0,0,15
90227,8,1,0,0,0,0,0,0,0,0,0,0
90228,1,1,22,6,29,9,0,12,9,9,17,12
90228,2,1,0,0,0,0,0,0,0,0,0,0
90229,0,1,0,0,0,31,0,0,0,0,0,16
90229,0,2,0,0,0,0,0,0,0,0,0,0
90229,1,1,25,10,15,0,0,0,14,0,0,16
90230,1,1,16,16,16,16,16,16,16,16,16,16
90231,0,1,0,0,0,0,0,0,0,0,0,0
90231,1,1,0,0,0,0,0,0,0,0,0,0
90232,1,1,0,0,0,0,0,0,0,0,0,0
90232,2,1,0,0,0,0,0,0,0,0,0,0
90233,1,1,0,0,0,0,0,0,30,0,0,0
90233,2,1,0,0,0,0,0,0,0,0,0,0
90234,1,1,0,2,0,0,0,0,0,0,0,0
90235,1,1,0,0,0,0,0,0,0,0,0,0
90235,2,1,0,0,0,0,0,0,0,0,0,0
90237,1,1,39,39,39,39,39,39,39,39,39,39
90238,1,1,0,0,0,0,0,0,0,0,0,18
90238,2,1,0,6,8,0,0,0,0,0,0,0
90239,0,1,0,15,0,0,0,39,0,0,0,0
90239,1,1,0,3,0,0,0,0,0,0,0,0
90240,1,1,0,0,4,0,16,0,0,0,0,10
90240,2,1,28,28,28,28,28,28,28,28,28,28
90241,1,1,0,0,0,0,0,0,0,0,0,0
90241,2,1,0,0,0,0,0,0,0,0,0,0
90242,1,1,27,27,27,27,27,27,27,27,27,27
90242,2,1,16,0,0,0,0,20,21,0,0,4
90243,1,1,33,33,33,33,33,33,33,33,33,33
90244,1,1,8,5,10,4,6,13,4,22,16,5
90244,2,1,0,0,24,25,0,0,0,6,0,0
90245,1,1,15,15,15,15,15,15,15,15,15,15
90246,1,1,24,24,24,24,24,24,24,24,24,24
90247,1,1,0,0,0,0,0,0,0,16,0,0
90248,0,1,0,0,0,0,0,0,0,0,0,0
90248,1,1,0,0,0,0,0,0,0,0,0,0
90249,0,1,9,13,13,21,0,20,43,23,0,0
90249,1,1,0,9,0,0,0,0,0,0,17,17
90249,2,1,0,0,13,9,0,0,0,0,9,13
90250,1,1,0,0,0,0,0,0,0,0,0,0
90250,2,1,9,0,0,0,0,0,0,11,0,0
90251,1,1,0,19,0,0,0,0,0,0,20,0
90251,2,1,0,0,21,0,0,0,0,7,0,0
90252,1,1,7,7,7,7,7,7,7,7,7,7
90253,1,1,11,11,11,11,11,11,11,11,11,11
90253,2,1,2,17,0,13,8,24,20,0,12,54
90254,1,1,0,0,0,0,0,0,0,24,0,0
90254,2,1,0,0,0,0,9,0,0,0,0,0
90255,1,1,0,0,0,0,0,0,0,0,0,0
90255,2,1,0,0,0,0,0,0,0,0,0,0
90256,0,1,0,0,0,0,0,0,0,0,0,0
90256,1,1,0,25,9,0,0,0,0,0,0,8
90257,1,1,8,8,8,8,8,8,8,8,8,8
90258,1,1,0,9,5,0,0,0,19,0,15,0
90258,2,1,19,17,0,0,17,31,17,0,18,0
90259,0,1,0,0,0,0,0,0,0,0,0,0
90259,1,1,0,0,0,0,0,15,0,0,3,3
90260,0,1,0,0,0,0,0,0,0,0,0,0
90260,1,1,0,0,0,0,0,25,0,0,0,0
100001,1,1,20,20,20,20,20,20,20,20,20,20
100002,1,1,16,16,16,16,16,16,16,16,16,16
100003,1,1,14,14,14,14,14,14,14,14,14,14
100004,0,1,0,0,0,0,0,0,0,0,0,0
100004,1,1,0,0,0,0,0,0,0,0,0,22
100004,2,1,0,0,0,0,0,0,0,0,0,0
100005,1,1,0,0,0,0,0,0,0,0,0,0
100005,2,1,0,0,0,0,0,0,0,0,0,0
100006,0,1,28,28,28,28,28,28,28,28,28,28
100006,1,1,0,0,0,0,0,0,0,0,0,0
100006,2,1,0,0,0,0,0,0,0,31,0,0
100006,3,1,0,0,0,0,0,0,0,0,0,0
100006,4,1,0,0,0,0,8,0,0,0,0,15
100006,5,1,0,0,0,0,0,13,0,0,0,0
100007,0,1,0,0,8,0,0,0,0,0,0,0
100007,1,1,17,0,16,0,20,0,0,0,0,0
100008,1,1,27,27,27,27,27,27,27,27,27,27
100009,1,1,0,0,0,0,0,14,0,0,13,0
100009,2,1,0,0,0,0,0,0,0,0,0,0
100010,1,1,0,0,0,0,0,0,0,0,0,0
100010,2,1,0,0,0,0,0,0,0,0,0,0
100011,1,1,0,0,0,0,0,0,0,0,0,0
100011,2,1,0,0,0,0,0,0,0,0,0,0
100011,3,1,0,0,0,0,13,0,0,0,0,0
100011,4,1,0,0,0,0,0,0,0,0,0,0
100011,5,1,0,0,0,0,0,0,0,0,0,0
100011,6,1,0,0,0,0,0,0,0,0,0,0
100012,1,1,0,0,0,0,0,0,0,0,0,0
100012,2,1,0,0,0,0,0,0,0,0,0,0
100013,0,1,18,18,18,18,18,18,18,18,18,18
100013,1,1,14,0,0,0,0,0,0,0,0,2
100014,0,1,23,23,23,23,23,23,23,23,23,23
100014,1,1,0,11,0,0,0,0,0,0,0,0
100015,1,1,25,0,0,0,0,0,0,0,0,0
100015,2,1,0,0,22,0,0,30,0,4,0,22
100016,1,1,0,0,0,0,0,0,0,0,0,0
100016,2,1,0,0,0,0,0,0,0,0,0,0
100017,1,1,21,21,21,21,21,21,21,21,21,21
100017,2,1,0,0,0,0,0,0,0,0,0,0
100017,3,1,12,0,0,0,0,0,0,0,11,0
100018,1,1,0,0,0,0,0,0,0,0,0,0
100019,1,1,8,0,0,0,0,0,0,0,8,0
100019,2,1,18,18,18,18,18,18,18,18,18,18
100020,1,1,23,23,23,23,23,23,23,23,23,23
100020,2,1,12,12,12,12,12,12,12,12,12,12
100021,1,1,0,0,0,0,0,0,0,0,0,0
100021,2,1,0,0,0,0,0,0,0,0,0,0
100022,1,1,0,0,0,0,0,0,0,0,0,0
100023,1,1,0,0,0,0,0,0,0,0,0,0
100024,0,1,23,23,23,23,23,23,23,23,23,23
100024,1,1,0,0,0,9,0,0,0,0,0,0
100025,1,1,20,20,20,20,20,20,20,20,20,20
100026,1,1,0,0,0,0,0,0,0,0,0,0
100026,2,1,0,0,0,0,0,0,0,0,0,0
100027,0,1,0,0,0,0,0,0,0,0,0,0
100027,1,1,0,0,0,0,0,0,0,0,0,0
100028,1,1,0,0,0,0,0,0,0,0,0,0
100028,2,1,18,18,18,18,18,18,18,18,18,18
100029,0,1,10,0,0,17,0,21,0,0,0,0
100029,1,1,17,17,11,0,0,0,22,0,0,0
100030,1,1,0,0,0,0,0,0,0,0,0,0
100031,0,1,0,0,0,0,0,0,0,0,0,0
100031,1,1,16,8,0,25,36,0,19,7,21,14
100032,1,1,14,9,13,30,26,11,14,12,22,10
100033,1,1,14,14,14,14,14,14,14,14,14,14
100034,1,1,4,4,4,4,4,4,4,4,4,4
100035,0,1,38,38,38,38,38,38,38,38,38,38
100035,1,1,0,0,9,0,0,10,14,0,0,15
100036,0,1,0,0,0,0,0,0,0,0,0,0
100036,1,1,0,15,0,0,0,0,0,0,0,0
100037,1,1,0,0,0,0,0,0,0,0,0,0
100037,2,1,0,0,0,0,0,0,0,0,0,0
100038,1,1,0,0,0,0,0,0,0,0,0,0
100038,2,1,0,0,0,0,0,0,0,0,0,0
100039,1,1,15,15,15,15,15,15,15,15,15,15
100040,0,1,31,31,31,31,31,31,31,31,31,31
100040,1,1,0,0,0,0,0,0,9,0,0,0
100041,1,1,0,0,0,0,0,0,0,0,0,0
100041,2,1,0,0,0,0,0,0,0,0,0,0
100042,0,1,20,20,20,20,20,20,20,20,20,20
100042,1,1,0,0,0,0,0,0,0,0,28,0
100043,0,1,0,18,21,34,0,0,35,15,17,0
100043,0,2,18,18,18,18,18,18,18,18,18,18
100043,1,1,0,0,0,12,21,0,0,14,20,0
100044,1,1,12,12,12,12,12,12,12,12,12,12
100044,2,1,0,0,0,0,0,0,0,0,0,0
100045,1,1,0,0,0,0,0,0,0,0,0,0
100045,2,1,6,0,0,0,0,0,0,0,0,0
100046,1,1,0,0,0,0,0,0,0,0,0,0
100046,2,1,0,0,0,0,0,0,0,0,0,0
100047,1,1,0,0,0,0,0,0,0,0,0,0
100048,0,1,11,11,11,11,11,11,11,11,11,11
100048,1,1,20,20,20,20,20,20,20,20,20,20
100049,1,1,0,0,0,0,0,0,0,0,0,0
100050,0,1,0,0,0,0,0,0,0,0,0,0
100050,0,2,19,19,19,19,19,19,19,19,19,19
100050,1,1,0,8,0,0,0,0,0,0,0,0
100051,1,1,0,0,0,0,0,0,0,0,0,0
100051,2,1,0,0,0,0,0,0,0,0,0,13
100051,3,1,0,0,0,0,0,0,0,0,0,0
100052,1,1,29,0,0,22,0,28,9,0,0,0
100053,1,1,0,0,0,0,0,0,0,0,0,0
100053,2,1,0,0,0,0,0,0,0,0,0,0
100054,0,1,26,26,26,26,26,26,26,26,26,26
100054,1,1,0,0,0,0,16,0,16,0,0,0
100054,2,1,0,0,0,0,0,0,0,0,0,0
100055,1,1,0,0,0,0,0,0,0,0,0,0
100056,1,1,0,0,0,0,0,0,0,0,0,0
100056,2,1,0,0,0,0,0,0,0,0,0,0
100057,1,1,0,11,11,20,20,17,16,14,26,17
100058,1,1,0,0,0,0,0,0,0,0,0,0
100058,2,1,0,0,19,0,0,28,0,0,0,0
