,Text,location,status
1251,"RT @AJSKirk: @Freedom4All1777 @HillaryClinton @realDonaldTrump Yeah,  Hillary and Obama thought cops should be out helping,  not doing phot",Indiana,pos
1252,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh","Miami, Fl",neu
1253,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Huntersville, NC , ",neu
1254,"@CNN @scottienhughes so proud of @realDonaldTrump, works his butt off and @HillaryClinton sits on hers and has everything handed to her!","Texas, USA",neu
1255,Lmao what  https://t.co/BwCf0xUJ8k,My House,neg
1256,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","South Carolina, USA",neu
1257,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! https://t.c,Edmond OK,pos
1258,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:",Southwest Lower Michigan,pos
1259,RT @nickconfessore: Wait this is a tweetstorm with 83 tweets?  https://t.co/WchOXvHcpW,IN,neg
1260,RT @petatusa: #WheresHillary @HillaryClinton is busy figuring out how to tell #ColinPowell his 'memory is faulty' like #Benghazi https://t.,on a plane,pos
1261,RT @Southern1337: Little late @HillaryClinton. Letting @realDonaldTrump lead already. Such a follower. They have stools in LA https://t.co/,"Washington, USA",neu
1262,@cnnbrk @HillaryClinton WHY BLACK FOLKS NOT DRINKIN #Trump #GOP KOOL-AID!WE'VE NEVER MATTERED &amp; NEVER WILL! https://t.co/LGKDubULEr,"COCONUT GROVE, FLORIDA",neu
1263,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Minneapolis,neu
1264,"@wolfblitzer Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1265,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","San Antonio, Texas",neu
1266,"@_RustyC @EelButt @HillaryClinton @duponline mothaducker who wants to be a leaf, wow has cows, cows eat leaves, therefore wow is better","Belfast, Northern Ireland",neg
1267,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",VA,neu
1268,RT @USAneedsTRUMP: @HillaryClinton @billclinton another year that he has gotten away with raping so many women,"Pennsylvania, USA",neg
1269,"RT @fubaglady: 85% of their $2Billion goes to ""adminstrative costs"" (aka their slush fund), not to charity.  What crooks they are. https://",Arizona,neg
1270,RT @mylittlepwnies3: Hillary backs up the Saudis and they are bombing the fuck out of civilians in Yemen https://t.co/skoQuyPqq8,New England,neg
1271,"When @HillaryClinton supporters start committing hate crimes in record numbers I will be convinced that she is a bigot.
@realDonaldTrump",Illinois,pos
1272,RT @vicreyesep: BREAKING: All Pueblo Council of Governors join Ten Southern Pueblos Council &amp;10 Navajo Chapters to endorse @HillaryClinton,United States,neg
1273,"RT @TexasRebel1836: The Louisiana 3am Phone Call - who do you want answering it?
.@BarackObama .@HillaryClinton .@realDonaldTrump https://t","Sanger, CA",neg
1274,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",South-central PA,neu
1275,@EakaErick @_WhitePonyJr_ @FoxNews @HillaryClinton Melania has definitely been destroyed by an African American infront of him before.,Jew Jersey ,neg
1276,@nycjim @johnastoehr @HillaryClinton wouldn't do any of this stuff.  It's too stupid.,"Victoria, BC",neg
1277,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back https://t.co/xacy3Q9qcA","Texas, USA",neg
1278,"@BarackObama @HillaryClinton TRUMP Visits Louisiana, Hillary Goz 2Bill's Bday Party! Hillary sez, ""Let em eat cake!"" https://t.co/9hIESHpoHC",Panama,pos
1279,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Missouri, USA",neu
1280,"@easilytriggered @HillaryClinton We are arming the ""rebels"" that are really ISIS that are trying to depose Assad in Syria.  Wake up doll.",U.S.,neu
1281,Folks @HillaryClinton has said @realDonaldTrump is against higher wadges. Has she been listening to his speeches. Been asking for higher pay,CyberSpace,neu
1282,RT @Kayla_RaMen: Just to put it into perspective for you... #DemExit #NeverHillary #GreenParty @DrJillStein @HillaryClinton @CNN https://t.,"Toledo, OH",neu
1283,RT @Gcf1517: @NobamaDotCom @realDonaldTrump @HillaryClinton is taking a nap,"McKinney, TX",neu
1284,@CNN the REAL question is what does a dumb white have to lose if they vote for @HillaryClinton ? they will get more wages with her.. a fact,"Toronto, On. Canada",neu
1285,"Leadership require to be of  initiative ,But Hillary Don't have ANY?? https://t.co/sOkH5Csltw",Bolton,neu
1286,@_Augustus_1 @ExposeHillary @HillaryClinton handing out supplies he donated #CrookedHillarys sleeping! Trumps for the people!,"New Jersey, USA",neu
1287,@sallykohn @HillaryClinton @realDonaldTrump  Hey Bitch. they CAN be protected where they LIVE! They DO NOT NEED TO COME TO USA!!,"Kentucky, USA",neg
1288,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Mechanicsburg, PA",neu
1289,The best part of campaigning for @HillaryClinton in Florida is proving to @realDonaldTrump #WeAreStrongerTogether ! https://t.co/TD2jamkojM,"London, England ",neu
1290,RT @mavros35169: @DarkArchery @TIME @google @ABC @CBSNews @NBCNews @nytimes @NewsHour @MSNBC @CNN @WCVB @HillaryClinton @nikkitur MSM=MOSLE,USA,neg
1291,RT @Crowdpac: Data shows 1/3 of Obama '12 donors are not backing @HillaryClinton! Read the story here: https://t.co/JmelZmPT29 https://t.co,NJ  MD ,neu
1292,RT @NYers4HRC: I just got an email from @HillaryClinton campaign asking me to donate for Louisiana relief funds. Nice to see the care and c,"Denton,TX",pos
1293,"It's so beautiful to see @HillaryClinton send her foundation money to #LouisianaFlood victims to help
#IHaventHeardAnyoneSay",Wanna go home -- Israel!,neg
1294,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" https://t.","Huntersville, NC , ",neu
1295,"@donlemon Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1296,@nick_fanelli94 @HillaryClinton @nytpolitics If you beat this dead horse longer maybe @realDonaldTrump won't be such a fucking idiot. #hope,New York,neg
1297,"@FoxNews @HillaryClinton 14 months later he can't stop saying, African-Americans.TO LITTLE TO LATE","Staten Island, NY",pos
1298,"@HillaryClinton One big difference..while Hillary allows her trolls to excercise their 1st amendment rights, Trump would block his.",U.S.,neg
1299,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Miami, Fl",neu
1300,RT @1765e88972254c9: @SaveUSA1776 @HillaryClinton @CNN A great man at work for the people. and isn't even president YET.,"Texas, USA",neg
1301,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Texas, USA",neu
1302,"RT @fubaglady: 85% of their $2Billion goes to ""adminstrative costs"" (aka their slush fund), not to charity.  What crooks they are. https://",Beautiful BC,neg
1303,"RT @Hillary2016Pres: ""Womens issues are family issues, economic issues, and crucial to our future competitiveness."" @HillaryClinton #Hilla","Connecticut, USA",neu
1304,RT @Joycep7777: THANK YOU FOX FOR CARRYING THIS GREAT RALLY TODAY https://t.co/v8iKnjkzpY,"Quincy, MA ",neg
1305,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" https://t.",Syracuse NY,neu
1306,RT @CorrectRecord: .@PolitiFact rated the claim that @HillaryClinton is for open borders as False. https://t.co/GRbjElu380 #TrumpLies,"San Francisco, CA",neu
1307,RT @bobj72: T RUMPs Facing ALLEGED CHILD RAPE CHARGE/s.  Hes Also Expressed REGRET  ~ (1/2) ... https://t.co/vvjEhiFLbu,Jersey Girl,neg
1308,@FoxNews @HillaryClinton says the guy who sends jobs to China and Mexico,"Canoga Park, CA",neu
1309,RT @CorrectRecord: .@PolitiFact rated the claim that @HillaryClinton is for open borders as False. https://t.co/GRbjElu380 #TrumpLies,"California, USA",neu
1310,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! https://t.c, England  Great Britain ,pos
1311,RT @Georgia4Bernie: .@HillaryClinton vows to not take foreign donations at #ClintonFoundation if she becomes prez. Same thing promised befo,USA,pos
1312,RT @mavros35169: @DarkArchery @TIME @google @ABC @CBSNews @NBCNews @nytimes @NewsHour @MSNBC @CNN @WCVB @HillaryClinton HowQuickU4GET https,5th Dimension,neu
1313,@JebBush The best republican politician running for POTUS is @HillaryClinton. Give her your endorsement!,Ireland,pos
1314,"Did a political campaign just use the word ""bromance"" in an official statement? https://t.co/iSnocl9xkx",UU 2019 | Political Science,neg
1315,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back https://t.co/xacy3Q9qcA","Connecticut, USA",neg
1316,RT @MattStone12: @1765e88972254c9 @RobinJohnson54 @SaveUSA1776 @HillaryClinton @CNN @ABC @CBS @NBC @CNN @FoxNews That's right! :) #TrumpPen,"Texas, USA",neg
1317,"@FoxNews @LindaSuhler @HillaryClinton If the African American starts working and feels the pinch of LIB. Govs, never vote that way again.",United States,neu
1318,@FoxNews @HillaryClinton @ClintonFdn that's funny,"California, USA",neg
1319,"Trump in Dimondale, MI - 92.7% white - asking for African American votes. Diversity in stands behind him? No @HillaryClinton @timkaine @cnn","Bedford, Texas",neg
1320,@realDonaldTrump used to say wages 2now says he wants to raise them. #WhichDonaldDoWeBelieve @HFA @HillaryClinton #ClintonKaine2016,"Surprise, AZ",neg
1321,A stark contrast to @HillaryClinton &amp; @billclinton that have showed that public service pays handsomely.  https://t.co/SIvpI0AKku,"Washington, DC",neu
1322,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh",Location: 1776 ,neu
1323,"@jaketapper Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1324,@FoxNews @HillaryClinton I really hope Fox's Twitter acct repeats Hillary's next speech &amp; not just candidates they're clearly in the bag 4.,Alphaville,pos
1325,@HillaryClinton NOT TRUE. Where's the quote?,everywhere,neg
1326,@HillaryClinton Hillary spends her days pandering to people that have ruined lives thanks to Her nafta bs...," New York, NY",neg
1327,Was it something they said?  What do Obama and @HillaryClinton have against the people of Louisiana?  https://t.co/XiopcnYdfB,"Greenwich, CT",neu
1328,RT @mylittlepwnies3: Hillary backs up the Saudis and they are bombing the fuck out of civilians in Yemen https://t.co/skoQuyPqq8,Twitter Purgatory,neg
1329,Thanks to @HillaryClinton   #WorldHumanitarianDay https://t.co/o8Sd6VZDKk,"Hanga Roa, Easter Island ",neg
1330,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Fort Worth, TX/NY, NY",neu
1331,First time @HillaryClinton had a hand up her pant1 https://t.co/FzjKn4lNr8, Tex,pos
1332,"@realdonaldtrump imply @HillaryClinton doesn't consider A/Americans""human beings"" Realize whatHeSaid #constitution @KellyannePolls #sitroom",USA,neu
1333,RT @mitchellreports: .@HillaryClinton laughs off @realDonaldTrump conspiracy theories that she has health problems @NBCNews @MSNBC https://,"Sacramento, CA",pos
1334,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Alabama,neu
1335,"@jaymeswinn @ReutersPolitics @HillaryClinton right for representation, yes! But not special treatment afforded to Queen Liar!",USA,neg
1336,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh","Santiago, Chile",neu
1337,"Retweeted Andrea Mitchell (@mitchellreports):

.@HillaryClinton laughs off @realDonaldTrump conspiracy theories... https://t.co/i3gL98QOJ3","Sacramento, CA",pos
1338,RT @NYers4HRC: I just got an email from @HillaryClinton campaign asking me to donate for Louisiana relief funds. Nice to see the care and c,"Chicago, IL-ish",pos
1339,@HillaryClinton yeah that's what I'm thinking today! Not the people under water in Louisiana!,"Las Vegas, NV ",pos
1340,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:","Houston, TX",pos
1341,"@VanJones68 Who in the HELL is this ""MF"" talking to. This is a reboot? I'm with HER @HillaryClinton","Cheverly, MD",neg
1342,"Charter Schools and the Risk of Increased Segregation  https://t.co/X0YXfjiaQ3 @realDonaldTrump. @HillaryClinton"""," Born & Raised Midwood, Brooklyn now JerseyGurl ",neg
1343,"@TheLeadCNN Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1344,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Vero Beach, Florida",neu
1345,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Middle Earth,neu
1346,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Mississipppi Gulf Coast,neu
1347,@CNN @HillaryClinton will seek to pass equal pay and then all black women will make as much as the dumb white man at same burger joint..BOOM,"Toronto, On. Canada",neg
1348,RT @CorrectRecord: .@PolitiFact rated the claim that @HillaryClinton is for open borders as False. https://t.co/GRbjElu380 #TrumpLies,Georgia,neu
1349,RT @mylittlepwnies3: Hillary backs up the Saudis and they are bombing the fuck out of civilians in Yemen https://t.co/skoQuyPqq8,"Milford, Delaware",neg
1350,"@realDonaldTrump: 2 events on the same day. Hillary is napping, prepping 4 her fundraiser in The Netherlands. @HillaryClinton #whereshillary","grand rapids, michigan",neu
1351,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh","Chicago, Las Vegas, Miami, KC",neu
1352,".@foxandfriends HereSheGoes #CrookedHillary ready2 lie Again!
@hillaryClinton worst nightmare 4 @TheDemocrats 
#MAGA #womancard #TrumpTrain","North Port, FL",neg
1353,RT @Greytdog: @HillaryClinton this is what makes Ken Salazar's appointment in your campaign concerning. https://t.co/8Yn8oGGRRU,St Louis Mo,neu
1354,"RT @Johnatsrs1949:  @HillaryClinton ""Champion For Women""

Except For This RAPED 12 Year Old Girl

Scumbag For President? No Thanks.
. http","California, USA",neg
1355,"RT @viciousbabushka: ""Real help"" like Play-Doh when they need foor &amp; water #tcot @ChristinaMann2 @Cory_1077 @SandraTXAS @HillaryClinton htt",Oklahoma,neu
1356,I've seen our wonderful @POTUS age. It's time @HillaryClinton take over the reign... We need someone strong https://t.co/sAZmo4FCJK,Chicago IL and California,pos
1357,"@AC360 Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1358,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",USA,neu
1359,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",NEW YORK USA,neu
1360,".@KerinLeone

@HillaryClinton is #NixonInAPantsuit.

@realDonaldTrump reminds me of #HaroldHill from ""The Music Man"" a total conman.","Voting Green in Flint, MI, USA",neu
1361,@TeddyDavisCNN @HillaryClinton He's got White Racists against Blacks. Now wants to turn Blacks against Refugees. Fucking Sick Fascist Pig,Everywhere in America..,neg
1362,"RT @pastormarkburns: Yes @HillaryClinton, let's start blaming Colin Powell for YOU using a private email server. Good job Hillary... #HesWi","Massachusetts, USA",neg
1363,This just in from @FoxNews alert. @HillaryClinton ordered by Fed Judge to answer questions regarding email from @JudicialWatch #TheFive,"Washington, DC",neu
1364,"Is Segregation The New School Choice | Campaign For America's Future https://t.co/A2Agts6gty @realdonaldTrump @hillaryclinton"""," Born & Raised Midwood, Brooklyn now JerseyGurl ",neg
1365,"@HillaryClinton 45 years and 1,000 mistresses later.  Happy Birthday!","Washington, DC",pos
1366,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back https://t.co/xacy3Q9qcA",USA,neg
1367,#fuckidiots #fuckhillaryclintion @HillaryClinton our fucken US what a joke of a nominee i could be a better nominee https://t.co/t40M9ojazW,"Washington, USA",pos
1368,RT @MeatballMom1: @HillaryClinton Treason! Need an investigation into Trump/Manafort/Putin $. Manafort so embedded in campaign how do we kn,"Colorado, USA",neg
1369,"@CNN typical Trump: ""...policies created by Crooked @HillaryClinton ..."" pauses ... and waits for that no class lockherup chant. #ImWithHer",Greater Sudbury / Grand Sudbur,neg
1370,RT @kyivguy: @FoxNews @realDonaldTrump @HillaryClinton Wow! Quite a speech.  Hillary will need another 100 million from Wall Street for Ads.,"Chicago, Las Vegas, Miami, KC",pos
1371,RT @hale_razor: Hi @HillaryClinton How much money has your Clinton Foundation donated to Louisiana flood relief? I hear it's a charity.,"Douglas County, Kansas",pos
1372,@billclinton appointee Emmet Sullivan won't force @HillaryClinton 2 give sworn deposition guess he wasn't feeling heart attack or suicidal,NW Missouri sticks,neg
1373,"@andersoncooper Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1374,"MORE: Judge orders @HillaryClinton to answer questions on personal email server use.
https://t.co/BY1HEMsDBD https://t.co/035X3m6CbF","Beaverton, OR",neu
1375,RT @vadum: Why's media leaving out the Podesta lobbying connection to Russia? Tony P. is the lobbyist: brother John chairs @HillaryClinton,Mid-South,neg
1376,@Woody_AFC @_WhitePonyJr_ @FoxNews @HillaryClinton I could see the Donald letting Tyson thrash that,LA/OC,neu
1377,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Great Southwest!,neu
1378,@KavaRob @FoxNews @realDonaldTrump @HillaryClinton I see you know how to google. well done,New York,pos
1379,RT @FoxBusiness: .@HillaryClinton camp's response: https://t.co/KEBdYTG3nh,"Richmond, VA ",neu
1380,@fransbeen A meaningless comparison. His finances won't be running the country. @HillaryClinton is pushing 70. It matters. @thinkprogress,Red State Hell,pos
1381,"@HillaryClinton The nerve of you to say Trump is dangerous LOL, for a  $1000, 000 donation look what you did . You risked ALL our lives.","NJ Native, NC, SC border now",neg
1382,@HillaryClinton  Let's see @realDonaldTrump &amp; @HillaryClinton walk up/down a  without the use of a railing for support. #SimpleTest,USA,pos
1383,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Stuttgart, Germany",neu
1384,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh",USA,neu
1385,@FoxBusiness @HillaryClinton bromance is sexist.,New York,neu
1386,RT @politico: Here's why @HillaryClinton is trouncing @realDonaldTrump in Michigan https://t.co/FginD5J9ur | Getty https://t.co/ADHMFVmamM,"Lagos, Nigeria",neu
1387,This is disappointing. Dems have done less than ZERO for #Vets and African-Americans. Aren't you both? Weird! https://t.co/F83ldIAN6T,Right of Right,neg
1388,"@realdonaldTrump 's  'Southern' Strategy - EBONY https://t.co/QJSR7ix3dU. @HillaryClinton"""," Born & Raised Midwood, Brooklyn now JerseyGurl ",neg
1389,"RT @The_Dailey: Of course the black guy and the one time Bush cabinet member gets the blame. Pathetic!
@seanhannity @HillaryClinton",USA,neg
1390,"RT @Jollarn: @Dick_Nightwood @sallykohn @HillaryClinton Please sign &amp; retweet this petition for Sally to spend one week in Raqqa 
https://t",BURGER UNIVERSE,pos
1391,@HillaryClinton Partners in crime. https://t.co/gYDTwDX0Nq,arizona,neg
1392,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Boquete, Republic of Panama",neu
1393,"@allinwithchris Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1394,"RT @MemeJozwik: America's next President is in #Louisiana #TrumpPence16 
@HillaryClinton where are you? #WheresHillary #NeverHillary https:","Oxford, FL",neu
1395,"RT @GinoTheBeagle: @seanhannity @HillaryClinton 

BREAKING Powell's Reaction to lying @HillaryClinton accusation  https://t.co/jxsTDsD7",USA,neg
1396,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Va. Beach, Virginia ",neu
1397,"RT @disspat: .@HillaryClinton really does sound like Obama... wants to be in charge of everything, but responsible for nothing. https://t.c",United States,pos
1398,@HillaryClinton add Hitler to that mix...and Mussolini.,earth,neu
1399,@HillaryClinton guess what is crazy HRC has been in government for thirty years and emails are the only thing people can pen on her.30 years,"North Carolina, USA",neg
1400,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Lake Norman, NC",neu
1401,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh","California, USA",neu
1402,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! https://t.c,,pos
1403,"RT @HerbinSF: @HillaryClinton campaign going ""nuclear"" over #HillarysHealth #HillarysStool and #HillarysPillow PLEASE RETWEET!https://t.co/","California, USA",pos
1404,@ryanobles @HillaryClinton great result https://t.co/b6pq6DV4O4,"Florida, USA",pos
1405,@HillaryClinton @billclinton time for Hillary to leave scumbag Drumpf alone and pivot to policy...let media bury him,USA,neg
1406,RT @KellyRiddell: This is a truth bomb. Keep em coming https://t.co/fKq1N0txAg,"Massachusetts, USA",neg
1407,"RT @FoxNews: .@EricTrump: ""[@HillaryClinton] hasn't given a press conference in, what, 267 days or whatever it is."" https://t.co/5xfn9wunWZ",West Virginia,neu
1408,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! https://t.c,USA & EUROPE,pos
1409,RT @shravans: Perhaps a Syrian refugee Trump wants to keep out! @realDonaldTrump @HillaryClinton @ananavarro #getRealDonaldTrump https://t.," Alberta, Canada ",neg
1410,"Just in case anyone really cares about @HillaryClinton /@realDonaldTrump's health not just politix https://t.co/CwfAyavpvA
#Clinton #Trump",NYU Langone Medical Ctr,neg
1411,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",The Great Northwest,neu
1412,#@HillaryClinton better friends with Putin than Syria and Iran!,tennessee,pos
1413,"The ONLY difference is,   @realDonaldTrump. Finally recognizes the demographics are against white votes Alone. @HillaryClinton"""," Born & Raised Midwood, Brooklyn now JerseyGurl ",neg
1414,"RT @ChadLivengood: .@realDonaldTrump: @hillaryClinton views people of color ""only as votes, not as human beings worthy of a better future.""","Norfolk, VA",pos
1415,"@HillaryClinton You're toast, Hillary. @realDonaldTrump 2016","El Macero, Ca",neu
1416,"RT @bfraser747: WAKE UP AMERICA.  

I'm far more concerned about @HillaryClinton ACTIONS than what @realDonaldTrump may say.  https:","Pennsylvania, USA",neu
1417,"@HillaryClinton Where IS Rotton-Clinton, she certainly can't be no wheres near tired!  #WheresHillary #Hillary https://t.co/eFoPW2sacJ",flyover country,pos
1418,"@chrislhayes Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1419,RT @Dollfinish: Lmao now @HillaryClinton blames Colin Powell for her crimes!  Ur kidding me! Pitiful! @realDonaldTrump @LouDobbs  https://t,"Crestview, FL",neg
1420,@HillaryClinton  I am aware that I typed all twice instead of will.,"Galesburg, Illinois, US",neu
1421,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Katy, TX",neu
1422,"RT @GinoTheBeagle: @seanhannity @HillaryClinton 

Sean, you have to Rip this Witch apart tonight on your show, for ANOTHER LIE, Holy Ch",USA,neg
1423,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Usa,neu
1424,"RT @seanhannity: .@KellyannePolls: ""[@HillaryClinton] wants to refer to them as 'our determined enemies.' [Trump] refers to them as 'terror","Evansville, IN",neg
1425,Great... I hope so! https://t.co/aUokZTq5bo,here,neg
1426,Everyday #CNN airs @realDonaldTrump speech free ad time @CNNPolitics bc without it @HillaryClinton be winning by even more #Election2016,"Vancouver, WA",pos
1427,RT @KellyRiddell: This is a truth bomb. Keep em coming https://t.co/fKq1N0txAg,sc,neg
1428,"Because you should watch this again.  And again! #ImWithHer
Role Models | Hillary Clinton https://t.co/LdCeoNud6C via @HillaryClinton",Brooklyn,neu
1429,@HillaryClinton at least he's not taking foreign money,"Alameda, CA",neu
1430,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh","Boquete, Republic of Panama",neu
1431,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh","Richmond, VA ",neu
1432,Her compassion is a farce. Pretty sure shes a reptilian lol  https://t.co/F6A6zhIrav,"Lowell, MA",neg
1433,Her compassion is a farce. Pretty sure shes a reptilian lol  https://t.co/WexztqHv1O,MASSACHUSETTS,neg
1434,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" https://t.",The Corner of Happy & Blessed,neu
1435,"RT @MEEchelleO: First #hillarysStool, then #HillarysPillow &amp; now #HillarysCatheter?!?
Dayum! Time to retire, @HillaryClinton!
-mao
https://","California, USA",neu
1436,"RT @AnneRiceAuthor: @HillaryClinton @billclinton Happy Birthday, Mr. President. And thanks for all the prosperity you brought to America. H",United States,neg
1437,Liberal American media whining about GWBjrs vacation days. No whining now when @HillaryClinton and @BarackObama is gone. #WheresHillary,Sweden,neu
1438,@realDonaldTrump you PIVOTED from MAJOR ASSHOLE to EXTREME HYPOCRITE! Wow! @HillaryClinton #cnn #Hannity #FoxNews #ImWithHer #NeverTrump,"Philadelphia, PA",neg
1439,I don't see what the problem would be there. Angela Merkel is an amazing human being and politician. https://t.co/OTmIWYK5HA,"Ohio, USA",neg
1440,"@Lawrence Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1441,"RT @bfraser747:  GEORGE SOROS

This is an EVIL man. He funds BLM &amp; @HillaryClinton . They don't want to #MakeAmericaGreatAgain  https:/",United States,neg
1442,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" https://t.co/5cnJgQxbEh",Usa,neu
1443,"RT @bfraser747:  #Hillary4Prison

I'm far more concerned about @HillaryClinton ACTIONS than what @realDonaldTrump may say.  https://t.c",United States,neu
1444,"@Bikers4Trump @HillaryClinton @billclinton Happy Birthday, Sweet Willie. Lol.","Wash,D.C.",neg
1445,"@RealJamesWoods @nypost Time to call out all of the #EstablishmentWhores including @BarackObama @MSNBC @maddow @HillaryClinton 
#Liars","Pennsylvania, USA",neg
1446,RT @Oil_Guns_Merica: Hillary helped this kid by fueling a gruesome civil war and arming insane Syrian Rebels who behead children.  https:,"Miami, Florida",neg
1447,"""the scandal that they (Republicans) are hanging their hat on just went up in smoke."" https://t.co/jR328KmoIQ","Asheville, NC",neg
