"Y"_City,_Arkansas 34.735104 -94.073257
Copper_Mountain,_Colorado 39.501419 -106.1516265
Coquille,_Oregon 43.1770544 -124.1876075
Corbin,_Kentucky 36.9486986 -84.0968761
Cordele,_Georgia 31.9635074 -83.7823938
Cordell,_Oklahoma 35.291271 -98.9876227
Corinth,_Mississippi 34.9342548 -88.5222702
Cornelia,_Georgia 34.5114883 -83.5271166
Cornell,_Wisconsin 45.1671881 -91.1493107
Corner_Brook,_Newfoundland 48.9489967 -57.9502726
Corning,_Arkansas 36.4078388 -90.5798336
Cornish,_Maine 43.8047977 -70.8011731
Cornwall,_Ontario 45.0212762 -74.730345
Cornwall_Bridge,_Connecticut 41.8187793 -73.3707551
Corona,_California 33.8752935 -117.5664384
Corpus_Christi,_Texas 27.8005828 -97.396381
Corrigan,_Texas 30.9968565 -94.8271527
Corsica,_South_Dakota 43.4252676 -98.4073023
Corsicana,_Texas 32.0954304 -96.4688727
Cortez,_Colorado 37.3488827 -108.5859265
Cortland,_New_York 42.6011813 -76.1804843
Corvallis,_Oregon 44.5645659 -123.2620435
Coshocton,_Ohio 40.2720151 -81.8595756
Cosmos,_Minnesota 44.9360731 -94.6966609
Coulee_City,_Washington 47.6112561 -119.2922499
Coulter,_Iowa 42.7338336 -93.3698768
Council_Bluffs,_Iowa 41.2619444 -95.8608333
Council_Grove,_Kansas 38.6611187 -96.4919473
Country_Homes,_Washington 47.7485023 -117.4043851
Coushatta,_Louisiana 32.0148834 -93.3421165
Cove_Fort,_Utah 38.6016209 -112.5819202
Covington,_Indiana 40.1417045 -87.3947357
Covington,_Louisiana 30.4754702 -90.1009108
Covington,_Michigan 46.5413295 -88.5370815
Covington,_Virginia 37.7934585 -79.9939463
Coweta,_Oklahoma 35.9517674 -95.650814
Crackerville,_Montana 46.0646476 -112.8050363
Craig,_Colorado 40.5152491 -107.5464541
Craig,_Missouri 40.1947193 -95.3710903
Craigtown,_Maryland 39.6003895 -76.0732828
Cranbrook,_British_Columbia 49.5129678 -115.7694002
Cranston,_Rhode_Island 41.7798226 -71.4372796
Crater_Lake,_Oregon 42.8684411 -122.1684785
Craven,_South_Dakota 45.4421975 -98.9251084
Crawford,_Alabama 32.4568081 -85.1896611
Crawford,_Nebraska 42.6830238 -103.4054788
Crawfordsville,_Indiana 40.0411536 -86.8744516
Crescent,_Iowa 41.364996 -95.8580668
Crescent_City,_California 41.7557501 -124.2025913
Crescent_City,_Illinois 40.7700351 -87.858925
Crescent_Junction,_Utah 38.943056 -109.816667
Crest_Hill,_Illinois 41.554753 -88.0986709
Crestline,_Kansas 37.1708926 -94.7043982
Creston,_British_Columbia 49.0955401 -116.5135079
Creston,_Wyoming 41.7038481 -107.7567402
Crestview,_Florida 30.7541808 -86.5727995
Creve_Coeur,_Missouri 38.6608855 -90.422618
Criterion_Summit,_Oregon 44.98272 -120.99124
Crockett,_Texas 31.3182359 -95.4566136
Cromwell,_Kentucky 37.3403254 -86.7880462
Cromwell,_Minnesota 46.6807803 -92.8840939
Crookston,_Minnesota 47.7745617 -96.6093911
Crosby,_Minnesota 46.4821848 -93.9577611
Cross_Plains,_Texas 32.1262493 -99.1653425
Crossfield,_Alberta 51.4301636 -114.0319551
Crossville,_Illinois 38.1617133 -88.0653123
Crow_Agency,_Montana 45.6041414 -107.4645278
Crump,_Tennessee 35.2217482 -88.3180946
Crystal_City,_Missouri 38.2211656 -90.3790094
Crystal_Falls,_Michigan 46.0980066 -88.3340242
Crystal_Springs,_Mississippi 31.987378 -90.3570353
Cuba,_Alabama 32.4281952 -88.3764211
Cuba,_Missouri 38.0628225 -91.4034833
Cuba,_New_Mexico 36.0222403 -106.9583721
Cuckoo,_Virginia 37.9520851 -77.8999955
Cuero,_Texas 29.0938652 -97.2891568
Culbertson,_Montana 48.1444646 -104.5168996
Culbertson,_Nebraska 40.230714 -100.8369649
Cullman,_Alabama 34.1748208 -86.8436124
Culpepper,_Virginia 38.4729632 -77.9962512
Culver_City,_California 34.0211224 -118.3964665
Cumberland,_Maryland 39.6528654 -78.7625185
Cumberland,_Wisconsin 45.5321764 -92.019346
Cumberland_Gap,_Tennessee 36.599527 -83.6685252
Cupertino,_California 37.3229978 -122.0321823
Curran,_Michigan 44.714734 -83.8077651
Cusseta,_Georgia 32.3061354 -84.7770485
Custer,_South_Dakota 43.7666507 -103.5988057
Cuthbert,_Georgia 31.7712748 -84.7893658
Cutler_Ridge,_Florida 25.5808323 -80.3468593
Cylon,_Wisconsin 45.1221865 -92.352969
D'Iberville,_Mississippi 30.4263092 -88.8908638
Dafter,_Michigan 46.3600203 -84.4272645
Daingerfield,_Texas 33.031793 -94.7218731
Dakota,_Minnesota 43.9135799 -91.3605035
Dale,_Indiana 38.1689415 -86.9899966
Daleville,_Indiana 40.1211545 -85.5580301
Dalhart,_Texas 36.0594772 -102.5132497
Dallas,_Texas 32.7766642 -96.7969879
Dallesport,_Washington 45.6173426 -121.1795155
Dalton,_Georgia 34.7698021 -84.9702228
Dalton,_Massachusetts 42.4736959 -73.1662138
Daly_City,_California 37.6879241 -122.4702079
Damascus,_Virginia 36.6337272 -81.7837303
Danbury,_Connecticut 41.394817 -73.4540111
Danbury,_New_Hampshire 43.5256297 -71.8617481
Danbury,_Wisconsin 46.0066117 -92.3713049
Dandridge,_Tennessee 36.0153693 -83.4148895
Daniel,_Wyoming 42.8643854 -110.070994
Danielson,_Connecticut 41.8025986 -71.8859054
Danville,_Illinois 40.124481 -87.6300207
Danville,_Kentucky 37.6456329 -84.7721702
Danville,_Virginia 36.5859718 -79.3950228
Danville,_West_Virginia 38.0809337 -81.8340123
Dardanelle,_Arkansas 35.2231408 -93.1579532
Darien,_Wisconsin 42.6016813 -88.7076041
Dartmouth,_Nova_Scotia 44.6652059 -63.5677427
Dassel,_Minnesota 45.0816298 -94.3069284
Datil,_New_Mexico 34.1449543 -107.8429625
Davenport,_Iowa 41.5236437 -90.5776367
Davenport,_Washington 47.6540456 -118.149973
Davidson,_Oklahoma 34.24092 -99.0756322
Davis,_California 38.5449065 -121.7405167
Davis,_Oklahoma 34.5045317 -97.1194637
Davison,_Michigan 43.0347491 -83.5180063
Dawson,_Georgia 31.7735001 -84.4465826
Dawson,_Nebraska 40.1311123 -95.8305486
Dawson_Creek,_British_Columbia 55.7596274 -120.2376623
Dayton,_Ohio 39.7589478 -84.1916069
Dayton,_Tennessee 35.4939587 -85.0124535
Dayton,_Texas 30.0466051 -94.8852026
Daytona_Beach,_Florida 29.2108147 -81.0228331
Dayville,_Connecticut 41.8462044 -71.8878447
DeFuniak_Springs,_Florida 30.7210227 -86.1152184
DeKalb,_Texas 33.5087256 -94.616319
DeQueen,_Arkansas 34.0378916 -94.3413168
DeSoto,_Iowa 41.5407824 -96.0318576
DeTour_Village,_Michigan 45.9944643 -83.9027828
DeWitt,_Iowa 41.8239952 -90.5389662
De_Ridder,_Louisiana 30.8463055 -93.2890527
De_Smet,_South_Dakota 44.3874696 -97.5503541
De_Witt,_Michigan 42.842256 -84.5691487
De_Witt,_Missouri 39.3844681 -93.2210376
Deadwood,_South_Dakota 44.376651 -103.7296415
Dearborn,_Michigan 42.3222599 -83.1763145
Death_Valley_Junction,_California 36.300308 -116.410599
Deaver,_Wyoming 44.8885625 -108.5979033
Decatur,_Alabama 34.6059253 -86.9833417
Decatur,_Illinois 39.8403147 -88.9548001
Decatur,_Indiana 40.830603 -84.9291329
Decatur,_Texas 33.2342834 -97.5861393
Decatur_City,_Iowa 40.7419443 -93.8338346
Deep_Brook,_Nova_Scotia 44.636268 -65.655714
Deepwater,_New_Jersey 39.6832814 -75.4898448
Deer_Lake,_Newfoundland 49.1731682 -57.4338728
Deer_Lake,_Wisconsin 45.4057161 -92.5154419
Deer_Park,_Alabama 31.2169307 -88.3145093
Deer_Park,_Texas 29.7052284 -95.1238204
Deer_River,_Minnesota 47.3328773 -93.793048
Deerfield,_Ohio 41.0245024 -81.0500944
Deerfield_Beach,_Florida 26.3184123 -80.0997657
Deerwood,_Minnesota 46.4741399 -93.8999806
Del_Norte,_Colorado 37.6788919 -106.3533683
Del_Rio,_Texas 29.3708857 -100.8958674
Delavan,_Wisconsin 42.6330703 -88.6437138
Delaware,_Ohio 40.2986724 -83.067965
Delmont,_Pennsylvania 40.4131233 -79.5703201
Delta,_Colorado 38.7422062 -108.0689582
Delta,_Utah 39.3521777 -112.57717
Deming,_New_Mexico 32.2686981 -107.7586404
Demopolis,_Alabama 32.5176361 -87.836402
Denhoff,_North_Dakota 47.4766619 -100.25957
Denison,_Iowa 42.024988 -95.3588867
Denison,_Texas 33.7556593 -96.536658
Denmark,_South_Carolina 33.3226546 -81.1423236
Dennis_Port,_Massachusetts 41.658445 -70.1286293
Denton,_Maryland 38.8845582 -75.8271563
Denton,_Texas 33.2148412 -97.1330683
Denver,_Colorado 39.7392358 -104.990251
Denver,_Iowa 42.6713718 -92.3374045
Denver,_Pennsylvania 40.2331483 -76.1371683
Depew,_New_York 42.9039476 -78.6922515
Derby,_Connecticut 41.3206523 -73.0889973
Derby_Center,_Vermont 44.949101 -72.1325081
Derry,_New_Hampshire 42.8806437 -71.3273346
Des_Moines,_Iowa 41.6005448 -93.6091064
Des_Peres,_Missouri 38.6008862 -90.4328968
Desert_Center,_California 33.7133313 -115.4004287
Detroit,_Illinois 39.620603 -90.6767936
Detroit,_Michigan 42.331427 -83.0457538
Detroit_Lakes,_Minnesota 46.8171808 -95.8453253
Devils_Lake,_North_Dakota 48.112779 -98.8651202
Devore,_California 34.2334918 -117.4105251
Dexter,_Maine 45.023918 -69.2898156
Dexter,_Minnesota 43.718852 -92.7046256
Dexter,_Missouri 36.7958866 -89.9578688
Dexterville,_Wisconsin 44.376389 -90.110556
Diamond_Bar,_California 34.0286226 -117.8103367
Diamond_Lake,_Oregon 43.1736956 -122.1521466
Diamond_Lake_Junction,_Oregon 44.8642105 -123.0152229
Diana,_Texas 32.7098612 -94.7521542
Dickens,_Texas 33.6217516 -100.836521
Dickeyville,_Wisconsin 42.6272197 -90.5920723
Dickinson,_North_Dakota 46.8791756 -102.7896242
Dickson,_Oklahoma 34.1873171 -96.9844556
Dickson,_Tennessee 36.0770048 -87.3877899
Digby,_Nova_Scotia 44.6215286 -65.757553
Dilley,_Texas 28.6674802 -99.1705887
Dillon,_Montana 45.2166324 -112.6389244
Dillsboro,_North_Carolina 35.3692665 -83.2523705
Dimmitt,_Texas 34.5509028 -102.3118607
Dingwells_Mills,_Prince_Edward_Island 46.359771 -62.448244
Dinorwic,_Ontario 49.69367 -92.494754
Divide,_Montana 45.8140865 -112.7108367
Dixboro,_Michigan 42.3121805 -83.6560013
Dixon,_Illinois 41.8389213 -89.4795478
Dixons_Mills,_Alabama 32.0542457 -87.7877934
Doaktown,_New_Brunswick 46.5537385 -66.1364081
Dock_Junction,_Georgia 31.2024515 -81.5167688
Dodge,_Washington 46.5248707 -117.8218735
Dodge_City,_Kansas 37.7527982 -100.0170787
Dodgeville,_Wisconsin 42.9602743 -90.1301237
Doland,_South_Dakota 44.8958034 -98.1006465
Dominguez,_California 33.8347392 -118.2186814
Donaldson,_Minnesota 48.5722023 -96.8964491
Donnellson,_Iowa 40.6428152 -91.5646028
Dorchester,_Nebraska 40.6458388 -97.116426
Dorrs_Corner,_Maryland 39.073443 -76.6305215
Dortches,_North_Carolina 36.0112645 -77.8574809
Dothan,_Alabama 31.2232313 -85.3904888
Douglas,_Arizona 31.3445471 -109.5453447
Douglas,_Georgia 31.5088073 -82.8498654
Douglas,_Wyoming 42.7596897 -105.3822069
Douglas_City,_California 40.6518023 -122.9438195
Dousman,_Wisconsin 43.014176 -88.4725983
Dover,_Delaware 39.158168 -75.5243682
Dover,_Michigan 42.4025354 -83.9107787
Dover,_New_Hampshire 43.1978624 -70.8736698
Dover,_Tennessee 36.4878291 -87.8383567
Dover-Foxcroft,_Maine 45.1833421 -69.2270821
Downingtown,_Pennsylvania 40.0064958 -75.7032742
Downs,_Kansas 39.4986215 -98.5420098
Downsville,_Wisconsin 44.7759243 -91.9290056
Drake,_Missouri 38.468381 -91.4646046
Drake,_North_Dakota 47.9241692 -100.3723605
Drayton,_North_Dakota 48.5710958 -97.1778485
Dresden,_Tennessee 36.2914512 -88.7081122
Drewsville,_New_Hampshire 43.1281334 -72.3920322
Drifton,_Florida 30.495278 -83.879444
Driftwood,_Ontario 49.134683 -81.386349
Drumheller,_Alberta 51.4651847 -112.7105343
Drummond,_Montana 46.6674305 -113.1472857
Drums,_Pennsylvania 41.018139 -75.9949252
Dry_Falls,_Washington 47.6 -119.356944
Dryden,_Maine 44.5867286 -70.2097832
Dryden,_Ontario 49.7800938 -92.8369592
Dryden,_Texas 30.0446889 -102.1143845
Dryden,_Washington 47.541234 -120.5609167
Du_Bois,_Pennsylvania 41.1210115 -78.7583257
Duarte,_California 34.1394513 -117.9772873
Dublin,_California 37.7021521 -121.9357918
Dublin,_Georgia 32.5404447 -82.903754
Dublin,_Ohio 40.0992294 -83.1140771
Dublin,_Texas 32.085143 -98.3419882
Dublin,_Virginia 37.1056784 -80.6853433
Dubois,_Idaho 44.1762984 -112.2308197
Dubuque,_Iowa 42.5005583 -90.6645718
Duchesne,_Utah 40.1632913 -110.4029329
Ducktown,_Tennessee 35.0359126 -84.3827012
Dudley_Corners,_Maryland 39.1839997 -75.8918825
Duffield,_Virginia 36.7189846 -82.795995
Duluth,_Minnesota 46.7866719 -92.1004852
Dumas,_Arkansas 33.8870476 -91.4917899
Dumas,_Texas 35.8653789 -101.9732236
Duncan,_Arizona 32.7214599 -109.1053408
Duncan,_Oklahoma 34.5023028 -97.9578128
Duncans_Mills,_Illinois 40.3400512 -90.1912155
Duncansville,_Pennsylvania 40.4234058 -78.433903
Duncanville,_Texas 32.6518004 -96.9083366
Dundee,_Michigan 41.9572676 -83.6596596
Dunkirk,_New_York 42.4795019 -79.3339324
Dunlap,_Tennessee 35.3714575 -85.3905209
Dunmore,_Alberta 49.9682249 -110.586995
Dunn,_North_Carolina 35.3062743 -78.6089028
Dunnigan,_California 38.8852378 -121.9695801
Dunning,_Nebraska 41.826389 -100.1062441
Dunseith,_North_Dakota 48.8130569 -100.0609678
Dunville,_Minnesota 46.6611903 -96.0216238
Duplex,_Tennessee 35.7470116 -86.8372225
Dupont,_Colorado 39.8387292 -104.9126418
Dupree,_South_Dakota 45.0474815 -101.6009896
Duran,_New_Mexico 34.46941 -105.398804
Durand,_Wisconsin 44.6263543 -91.965726
Durango,_Colorado 37.27528 -107.8800667
Durant,_Mississippi 33.0751289 -89.8545276
Durant,_Oklahoma 33.9924186 -96.3971233
Durham,_North_Carolina 35.9940329 -78.898619
Dusty,_Washington 46.8101598 -117.6518662
Dutchtown,_Missouri 37.2528299 -89.6598148
Dutzow,_Missouri 38.605607 -90.9945866
Dwight,_Illinois 41.0944767 -88.4250597
Dwyer,_Wyoming 42.242192 -104.9560831
Dyersburg,_Tennessee 36.0345159 -89.3856281
Dyersville,_Iowa 42.4836415 -91.1140899
Eads,_Colorado 38.4805615 -102.7818628
Eagan,_Minnesota 44.8041322 -93.1668858
Eagle_Butte,_South_Dakota 44.9886537 -101.2224805
Eagle_Lake,_Minnesota 44.1639381 -93.8813245
Eagle_Pass,_Texas 28.7091433 -100.4995214
Eagle_River,_Wisconsin 45.9171763 -89.2442988
Eagle_Rock,_California 34.1322469 -118.2117257
Early,_Iowa 42.4613706 -95.1519373
East_Aurora,_New_York 42.7678376 -78.6133589
East_Avon,_New_York 42.9095472 -77.7180723
East_Baldwin,_Maine 43.806086 -70.6756176
East_Barrington,_New_Hampshire 43.2228599 -71.0470077
East_Berlin,_Connecticut 41.6170568 -72.7157643
East_Bethany,_New_York 42.9314495 -78.1014019
East_Chatham,_New_York 42.411223 -73.525481
East_Dennis,_Massachusetts 41.7426094 -70.1619638
East_Eddington,_Maine 44.7920156 -68.5828071
East_End,_Missouri 40.2687734 -92.9513347
East_Fishkill,_New_York 41.5534267 -73.7956884
East_Grand_Rapids,_Michigan 42.941139 -85.6100277
East_Hannibal,_Illinois 39.7297679 -91.3509813
East_Holden,_Maine 44.7375722 -68.6330865
East_Jordan,_Michigan 45.1580628 -85.1242254
East_Lansing,_Michigan 42.7369792 -84.4838654
East_Lee,_Massachusetts 42.3042151 -73.2481951
East_Liverpool,_Ohio 40.6186756 -80.5772928
East_Los_Angeles,_California 34.0224417 -118.1669736
East_Lyme,_Connecticut 41.3531533 -72.2295237
East_Machias,_Maine 44.7391789 -67.3900603
East_Middlebury,_Vermont 43.9733942 -73.1062269
East_Montpelier,_Vermont 44.2711706 -72.4870503
East_Orange,_New_Jersey 40.767323 -74.2048677
East_Providence,_Rhode_Island 41.8137116 -71.3700545
East_Rochester,_New_Hampshire 43.3331375 -70.941451
East_St._Johnsbury,_Vermont 44.438669 -71.9456491
East_St._Louis,_Illinois 38.624514 -90.1506465
East_Syracuse,_New_York 43.0653446 -76.0785332
East_Waterboro,_Maine 43.5719825 -70.6828486
East_Wenatchee,_Washington 47.4156824 -120.2931263
Eastman,_Georgia 32.1976729 -83.1776514
Easton,_Delaware 40.6442679 -75.1983513
Easton,_Missouri 39.7222183 -94.641625
Easton,_Pennsylvania 40.688432 -75.2207323
Eastover,_South_Carolina 33.876821 -80.6928654
Eastport,_Michigan 45.1072257 -85.3500727
Eastview,_Tennessee 35.0756408 -88.545325
Eaton_Crossroad,_Tennessee 35.8364661 -84.2940881
Eaton_Rapids,_Michigan 42.5092039 -84.655814
Eatonton,_Georgia 33.3267997 -83.3884961
Eau_Claire,_Wisconsin 44.811349 -91.4984941
Ebensburg,_Pennsylvania 40.4850717 -78.7247426
Echo,_Utah 40.9778985 -111.4413165
Echo_Cliffs,_Arizona 34.5751256 -112.5031259
Echo_Lake,_New_Hampshire 44.1749755 -71.6929395
Eckerman,_Michigan 46.3652931 -85.0353578
Eddington,_Maine 44.8265844 -68.6935362
Eddyville,_Kentucky 37.0944971 -88.080301
Eden,_Texas 31.216276 -99.8456277
Eden_Prairie,_Minnesota 44.8546856 -93.470786
Edgecliff,_Texas 29.4554647 -98.5874051
Edgeley,_North_Dakota 46.3591377 -98.7156564
Edgerton,_Kansas 38.7647302 -95.0080224
Edina,_Minnesota 44.8896866 -93.3499489
Edinboro,_Pennsylvania 41.8742225 -80.1317236
Edinburg,_Ohio 41.0997794 -81.1459321
Edison,_Nebraska 40.2772163 -99.7765982
Edmonds,_Washington 47.8106521 -122.3773552
Edmonton,_Alberta 53.544389 -113.4909267
Edmundston,_New_Brunswick 47.3690127 -68.3266741
Edwards,_Mississippi 32.3301465 -90.6056548
Effie,_Minnesota 47.84022 -93.6429682
Effingham,_Illinois 39.1200418 -88.5433829
El_Cajon,_California 32.7947731 -116.9625269
El_Campo,_Texas 29.1966405 -96.2696867
El_Centro,_California 32.792 -115.5630514
El_Dorado,_Arkansas 33.20763 -92.6662674
El_Dorado,_Kansas 37.81724 -96.8622524
El_Dorado_Springs,_Missouri 37.8769799 -94.0213303
El_Modena,_California 33.78778 -117.80861
El_Paso,_Illinois 40.7392017 -89.0164626
El_Paso,_Texas 31.7775757 -106.4424559
El_Reno,_Oklahoma 35.5322741 -97.9550493
El_Toro,_California 33.6469661 -117.689218
Elberfeld,_Indiana 38.1597668 -87.4483482
Eldena,_Illinois 41.771144 -89.410099
Eldridge,_Alabama 33.9228835 -87.6172389
Eleva,_Wisconsin 44.5757974 -91.4701575
Elgin,_North_Dakota 46.4038957 -101.845979
Elijay,_Georgia 34.6948076 -84.4821498
Elizabeth,_Minnesota 46.3796817 -96.1292258
Elizabethtown,_Kentucky 37.7030646 -85.8649408
Elk_City,_Kansas 37.2892269 -95.9116515
Elk_Horn_Peak,_South_Dakota 44.4752618 -103.7029742
Elk_Mound,_Wisconsin 44.8730167 -91.6910015
Elk_River,_Minnesota 45.3377283 -93.5691122
Elkhart,_Indiana 41.6819935 -85.9766671
Elkhart,_Kansas 37.0080792 -101.8901664
Elkhart,_Texas 31.6251747 -95.5793977
Elkhorn,_Wisconsin 42.6727927 -88.5445447
Elkin,_North_Carolina 36.2443012 -80.8484043
Elkins,_West_Virginia 38.9259397 -79.8467349
Elko,_British_Columbia 49.299036 -115.110965
Elko,_Nevada 40.8324211 -115.7631232
Elkridge,_Maryland 39.2126073 -76.7135814
Elkton,_Oregon 43.6376174 -123.5681519
Elkton,_Virginia 38.4079042 -78.6236277
Ellensburg,_Washington 46.9965144 -120.5478474
Ellicott_City,_Maryland 39.2673283 -76.7983067
Ellington_Field,_Texas 29.6025264 -95.1673733
Elliston,_Indiana 39.0278236 -86.9708408
Ellsworth,_Kansas 38.7305648 -98.2281126
Ellsworth,_Maine 44.5434095 -68.4194641
Ellsworth,_Wisconsin 44.7321897 -92.4874124
Elm_Creek,_Nebraska 40.7182233 -99.3732616
Elm_Fork_Park,_Texas 32.9541192 -96.9369089
Elma,_Washington 47.0034291 -123.4087692
Elmdale,_Kansas 38.3736255 -96.6447322
Elmer,_Michigan 44.7599645 -84.2067992
Elmhurst,_Pennsylvania 41.3746119 -75.5451379
Elmira,_New_York 42.0897965 -76.8077338
Elmo,_Montana 47.830498 -114.3495693
Elmsford,_New_York 41.0550969 -73.8201337
Elmwood,_Oklahoma 36.6164172 -100.5226468
Elmwood,_Wisconsin 44.7810761 -92.1460139
Elroy,_Wisconsin 43.7408049 -90.272351
Elstonville,_Pennsylvania 40.2078714 -76.419685
Elton,_Louisiana 30.4813125 -92.6956982
Elwin,_Illinois 39.778926 -88.9800771
Ely,_Minnesota 47.9032372 -91.8670873
Ely,_Nevada 39.2474393 -114.8886296
Ely,_Vermont 43.8764576 -72.1764789
Elyria,_Ohio 41.3683798 -82.1076486
Emden,_Illinois 40.2986537 -89.4851011
Emerson,_Iowa 41.0172179 -95.4022179
Emerson,_Manitoba 49.005552 -97.2078219
Emeryville,_California 37.831316 -122.2852473
Emigrant_Gap,_California 39.296845 -120.6727122
Emmetsburg,_Iowa 43.1127427 -94.6830357
Emmett,_Michigan 42.9905832 -82.7649266
Emmitsburg,_Maryland 39.7045417 -77.3269307
Emory,_Texas 32.874566 -95.7655183
Emory_Gap,_Tennessee 35.9167412 -84.5749364
Empire,_Colorado 39.7613763 -105.6844479
Empire,_Michigan 44.8111081 -86.0600933
Emporia,_Kansas 38.403903 -96.1816626
Emporia,_Virginia 36.6859829 -77.5424809
Encino,_New_Mexico 34.651178 -105.4616722
Enderby,_British_Columbia 50.5508499 -119.1396705
Enders,_Nebraska 40.4543822 -101.5349192
Enfield,_Connecticut 42.0027181 -72.5441445
Enfield,_Illinois 38.0994912 -88.3375447
Engadine,_Michigan 46.1170049 -85.5712686
Englewood,_Tennessee 35.4245183 -84.4874289
English,_Kentucky 38.628397 -85.1280083
Enid,_Oklahoma 36.3955891 -97.8783911
Ennis,_Texas 32.3293111 -96.6252679
Ensenada,_Baja_California_Norte 32.5139165 -116.8994773
Enumclaw,_Washington 47.2042681 -121.9915003
Epping,_New_Hampshire 43.0534843 -71.0735476
Erie,_Pennsylvania 42.1292241 -80.085059
Erin,_Tennessee 36.3183879 -87.6947414
Erlanger,_Kentucky 39.0167275 -84.6007773
Ermine,_Kentucky 37.1212104 -82.7921038
Errol,_New_Hampshire 44.7814393 -71.1378558
Erskine,_Minnesota 47.6687457 -96.0092234
Escanaba,_Michigan 45.7452466 -87.0645801
Escatawapa,_Mississippi 30.482056 -88.5503639
Escondido,_California 33.1192068 -117.086421
Espanola,_New_Mexico 35.9910383 -106.0818233
Espanola,_Ontario 46.2657181 -81.771057
Estes_Park,_Colorado 40.3772059 -105.5216651
Estherville,_Iowa 43.4013478 -94.8391532
Eufaula,_Alabama 31.8912717 -85.1454876
Eufaula,_Oklahoma 35.2873206 -95.5824846
Eugene,_Oregon 44.0520691 -123.0867536
Euless,_Texas 32.8370727 -97.0819541
Eunice,_New_Mexico 32.4373434 -103.1590798
Eupora,_Mississippi 33.5406769 -89.2670124
Eureka,_California 40.8020712 -124.1636729
Eureka,_Kansas 37.8239167 -96.2891703
Eureka,_Montana 48.8799647 -115.0535001
Eureka,_Nevada 39.5124858 -115.9607803
Eutaw,_Alabama 32.8406848 -87.8875145
Eva,_Oklahoma 36.789452 -101.912903
Evansville,_Indiana 37.9715592 -87.5710898
Evansville,_Wisconsin 42.7802831 -89.2992838
Evant,_Texas 31.4762719 -98.1519777
Everett,_Washington 47.9789848 -122.2020794
Everetts_Corner,_Delaware 39.20056 -75.74639
Evergreen,_Alabama 31.4341907 -86.9545924
Ewingville,_New_Jersey 40.2770523 -74.7807175
Excelsior_Springs,_Missouri 39.3391712 -94.2260559
Exeland,_Wisconsin 45.6680167 -91.2440479
Exeter,_New_Hampshire 42.9814292 -70.9477546
Exton,_Pennsylvania 40.0325817 -75.6274583
FL_Tpk_Exit_244,_Florida 27.1186562 -81.0854088
FL_Tpk_Exit_254,_Florida 27.1186562 -81.0854088
FL_Tpk_Exit_259,_Florida 27.1186562 -81.0854088
FL_Tpk_Exit_267,_Florida 27.1186562 -81.0854088
FL_Tpk_Exit_285,_Florida 27.1186562 -81.0854088
FL_Tpk_Exit_39,_Florida 27.1186562 -81.0854088
FL_Tpk_Exit_54,_Florida 27.1186562 -81.0854088
FL_Tpk_Exit_71,_Florida 27.1186562 -81.0854088
FL_Tpk_Exit_99,_Florida 27.1186562 -81.0854088
Fair_Haven,_Vermont 43.594801 -73.2657155
Fair_Oaks,_Arkansas 35.2434208 -91.0312313
Fairbanks,_Maine 44.7031148 -70.1628403
Fairborn,_Ohio 39.8208925 -84.0193789
Fairchild,_Wisconsin 44.6002391 -90.9629277
Fairfax,_Minnesota 44.5272559 -94.7193175
Fairfax,_South_Carolina 32.9590482 -81.236495
Fairfield,_California 38.2493581 -122.0399663
Fairfield,_Maine 44.5884052 -69.5986469
Fairfield,_Texas 31.7246128 -96.1652481
Fairmont,_Minnesota 43.6521775 -94.4610832
Fairmont,_Nebraska 40.6352901 -97.5851206
Fairmont,_West_Virginia 39.4850848 -80.1425781
Fairmount,_Georgia 34.4362013 -84.6999346
Fairplay,_Colorado 39.2247125 -106.0019618
Fairview,_Arkansas 35.5763345 -91.6566377
Fairview,_Iowa 42.0780592 -91.3298854
Fairview,_Kansas 39.8411112 -95.7280415
Fairview,_Michigan 44.7250797 -84.0506585
Fairway,_Kansas 39.0222277 -94.6319018
Faison,_North_Carolina 35.1162763 -78.1361033
Faith,_South_Dakota 45.0230391 -102.0359924
Falcon_Heights,_Texas 26.5589442 -99.1230884
Fall_River,_Massachusetts 41.7014912 -71.1550451
Fall_River,_Nova_Scotia 44.8180687 -63.6120724
Fall_River,_Wisconsin 43.3844337 -89.0451108
Fallon,_Nevada 39.4748693 -118.7770407
Falls_Church,_Virginia 38.882334 -77.1710914
Falls_City,_Nebraska 40.0608352 -95.6019294
Falmouth,_Kentucky 38.6767372 -84.3302142
Falmouth,_Maine 43.7435343 -70.2601759
Falmouth,_Massachusetts 41.5532208 -70.6085886
Falmouth,_Nova_Scotia 44.9969853 -64.1580916
Famoso,_California 35.605598 -119.200203
Fargo,_North_Dakota 46.8771863 -96.7898034
Faribault,_Minnesota 44.2949636 -93.268827
Farmers_Branch,_Texas 32.9265137 -96.8961151
Farmington,_Connecticut 41.7360305 -72.795027
Farmington,_Maine 44.6704998 -70.1512169
Farmington,_New_Mexico 36.7280583 -108.2186856
Farmville,_Virginia 37.3020965 -78.3919401
Farson,_Wyoming 42.1120397 -109.4427035
Farwell,_Michigan 43.8350247 -84.8669666
Fayette,_Alabama 33.6845539 -87.8308522
Fayette,_Mississippi 31.7115534 -91.0606607
Fayette,_Ohio 41.6733839 -84.3268925
Fayetteville,_Arkansas 36.0625795 -94.1574263
Fayetteville,_North_Carolina 35.0526641 -78.8783585
